"año","estacion","pago","conteo"
"15","Illia","Efectivo",120234
"15","Illia","Exento",38659
"15","Illia","Infracción",29440
"15","Illia","No Cobrado",32616
"15","Illia","Otros",9634
"15","Illia","Telepase",120310
"15","Parque Avellaneda","Discapacidad",17238
"15","Parque Avellaneda","Efectivo",65674
"15","Parque Avellaneda","Exento",28665
"15","Parque Avellaneda","Infracción",30088
"15","Parque Avellaneda","No Cobrado",20712
"15","Parque Avellaneda","Otros",10089
"15","Parque Avellaneda","Telepase",55286
"16","Alberti","Discapacidad",16823
"16","Alberti","Efectivo",45978
"16","Alberti","Exento",34223
"16","Alberti","Infracción",9200
"16","Alberti","No Cobrado",14699
"16","Alberti","Otros",1061
"16","Alberti","Telepase",30279
"16","Dellepiane","Discapacidad",25992
"16","Dellepiane","Efectivo",117006
"16","Dellepiane","Exento",39374
"16","Dellepiane","Infracción",48434
"16","Dellepiane","No Cobrado",24045
"16","Dellepiane","Otros",9
"16","Dellepiane","Telepase",99733
"16","Illia","Discapacidad",28077
"16","Illia","Efectivo",162796
"16","Illia","Exento",51282
"16","Illia","Infracción",35781
"16","Illia","No Cobrado",42380
"16","Illia","Otros",6610
"16","Illia","Telepase",153498
"16","Parque Avellaneda","Discapacidad",30442
"16","Parque Avellaneda","Efectivo",127600
"16","Parque Avellaneda","Exento",43813
"16","Parque Avellaneda","Infracción",47223
"16","Parque Avellaneda","No Cobrado",32154
"16","Parque Avellaneda","Otros",6825
"16","Parque Avellaneda","Telepase",104106
"17","Alberti","Discapacidad",16326
"17","Alberti","Efectivo",45635
"17","Alberti","Exento",33771
"17","Alberti","Infracción",9084
"17","Alberti","No Cobrado",14640
"17","Alberti","Telepase",31127
"17","Dellepiane","Discapacidad",26539
"17","Dellepiane","Efectivo",116175
"17","Dellepiane","Exento",40300
"17","Dellepiane","Infracción",49343
"17","Dellepiane","No Cobrado",23075
"17","Dellepiane","Telepase",101692
"17","Illia","Discapacidad",27305
"17","Illia","Efectivo",157907
"17","Illia","Exento",51103
"17","Illia","Infracción",32382
"17","Illia","No Cobrado",46442
"17","Illia","Otros",22
"17","Illia","Telepase",157935
"17","Parque Avellaneda","Discapacidad",29936
"17","Parque Avellaneda","Efectivo",127486
"17","Parque Avellaneda","Exento",44715
"17","Parque Avellaneda","Infracción",49466
"17","Parque Avellaneda","No Cobrado",33573
"17","Parque Avellaneda","Telepase",106666
"18","Alberti","Discapacidad",14981
"18","Alberti","Efectivo",44882
"18","Alberti","Exento",31153
"18","Alberti","Infracción",12015
"18","Alberti","No Cobrado",15668
"18","Alberti","Telepase",34338
"18","Dellepiane","Discapacidad",23192
"18","Dellepiane","Efectivo",108970
"18","Dellepiane","Exento",40988
"18","Dellepiane","Infracción",50693
"18","Dellepiane","No Cobrado",24629
"18","Dellepiane","Telepase",104969
"18","Illia","Discapacidad",22608
"18","Illia","Efectivo",147736
"18","Illia","Exento",45876
"18","Illia","Infracción",37144
"18","Illia","No Cobrado",46934
"18","Illia","Telepase",174761
"18","Parque Avellaneda","Discapacidad",25567
"18","Parque Avellaneda","Efectivo",122045
"18","Parque Avellaneda","Exento",44086
"18","Parque Avellaneda","Infracción",53479
"18","Parque Avellaneda","No Cobrado",34209
"18","Parque Avellaneda","Telepase",114985
"19","Alberti","Discapacidad",14306
"19","Alberti","Efectivo",29213
"19","Alberti","Exento",28830
"19","Alberti","Infracción",15701
"19","Alberti","No Cobrado",13008
"19","Alberti","Telepase",31221
"19","Dellepiane","Discapacidad",20412
"19","Dellepiane","Efectivo",34820
"19","Dellepiane","Exento",34034
"19","Dellepiane","Infracción",32485
"19","Dellepiane","No Cobrado",30967
"19","Dellepiane","Telepase",34882
"19","Illia","Discapacidad",19924
"19","Illia","Efectivo",50541
"19","Illia","Exento",35312
"19","Illia","Infracción",30907
"19","Illia","No Cobrado",48232
"19","Illia","Telepase",79951
"19","Parque Avellaneda","Discapacidad",21359
"19","Parque Avellaneda","Efectivo",34766
"19","Parque Avellaneda","Exento",34540
"19","Parque Avellaneda","Infracción",32335
"19","Parque Avellaneda","No Cobrado",28562
"19","Parque Avellaneda","Telepase",34881
"19","Paseo del Bajo","No Cobrado",20511
"19","Paseo del Bajo","Telepase",20453
"20","Alberti","Billeteras virtuales",1389
"20","Alberti","Efectivo",29876
"20","Alberti","Exento",33859
"20","Alberti","Infracción",24313
"20","Alberti","Otros",26963
"20","Alberti","Telepase",78323
"20","Dellepiane","Billeteras virtuales",2906
"20","Dellepiane","Efectivo",78939
"20","Dellepiane","Exento",39355
"20","Dellepiane","Infracción",45401
"20","Dellepiane","Otros",84866
"20","Dellepiane","Telepase",256391
"20","Illia","Billeteras virtuales",3101
"20","Illia","Efectivo",68690
"20","Illia","Exento",31559
"20","Illia","Infracción",157010
"20","Illia","Otros",50836
"20","Illia","Telepase",473923
"20","Parque Avellaneda","Billeteras virtuales",2976
"20","Parque Avellaneda","Efectivo",86578
"20","Parque Avellaneda","Exento",44945
"20","Parque Avellaneda","Infracción",54032
"20","Parque Avellaneda","Otros",92597
"20","Parque Avellaneda","Telepase",270623
"20","Paseo del Bajo","Billeteras virtuales",291
"20","Paseo del Bajo","Infracción",143535
"20","Paseo del Bajo","Telepase",350466
"21","Alberti","Billeteras virtuales",37498
"21","Alberti","Efectivo",29521
"21","Alberti","Exento",21760
"21","Alberti","Infracción",31541
"21","Alberti","Otros",28051
"21","Alberti","Telepase",84981
"21","Dellepiane","Billeteras virtuales",81950
"21","Dellepiane","Efectivo",79122
"21","Dellepiane","Exento",41607
"21","Dellepiane","Infracción",48088
"21","Dellepiane","Otros",130319
"21","Dellepiane","Telepase",276227
"21","Illia","Billeteras virtuales",112135
"21","Illia","Efectivo",53859
"21","Illia","Exento",23601
"21","Illia","Infracción",173125
"21","Illia","Otros",62510
"21","Illia","Telepase",480144
"21","Parque Avellaneda","Billeteras virtuales",82171
"21","Parque Avellaneda","Efectivo",87021
"21","Parque Avellaneda","Exento",48374
"21","Parque Avellaneda","Infracción",57175
"21","Parque Avellaneda","Otros",138092
"21","Parque Avellaneda","Telepase",273446
"21","Paseo del Bajo","Billeteras virtuales",44721
"21","Paseo del Bajo","Infracción",160577
"21","Paseo del Bajo","Telepase",341738
"22","Alberti","Billeteras virtuales",32737
"22","Alberti","Efectivo",12551
"22","Alberti","Exento",8734
"22","Alberti","Infracción",25306
"22","Alberti","Otros",13807
"22","Alberti","Telepase",60567
"22","Dellepiane","Billeteras virtuales",78465
"22","Dellepiane","Efectivo",69884
"22","Dellepiane","Exento",28902
"22","Dellepiane","Infracción",34021
"22","Dellepiane","Otros",98606
"22","Dellepiane","Telepase",194122
"22","Illia","Billeteras virtuales",135177
"22","Illia","Efectivo",46992
