"estacion","latitud","longitud"
"Alberti",-34.62481631937857,-58.39814392882449
"Parque Avellaneda",-34.64783347689283,-58.47818981900274
"Dellepiane",-34.651386,-58.466949
"Illia",-34.575237499330996,-58.39352817005582
"Paseo del Bajo",-34.57585405795329,-58.386249377209865
